Kab. Bantul,less than elementary,46392
Kab. Bantul,university,72955
Kab. Banyu Asin,elementary,229858
Kab. Banyu Asin,high school,79684
Kab. Banyu Asin,junior high school,92407
Kab. Banyu Asin,less than elementary,62640
Kab. Banyu Asin,university,14432
Kab. Banyumas,elementary,451404
Kab. Banyumas,high school,212469
Kab. Banyumas,junior high school,223023
Kab. Banyumas,less than elementary,126791
Kab. Banyumas,university,61485
Kab. Banyuwangi,elementary,438399
Kab. Banyuwangi,high school,197520
Kab. Banyuwangi,junior high school,252749
Kab. Banyuwangi,less than elementary,100141
Kab. Banyuwangi,university,41648
Kab. Barito Kuala,elementary,69582
Kab. Barito Kuala,high school,29498
Kab. Barito Kuala,junior high school,41440
Kab. Barito Kuala,less than elementary,31975
Kab. Barito Kuala,university,7775
Kab. Barito Selatan,elementary,30721
Kab. Barito Selatan,high school,17806
Kab. Barito Selatan,junior high school,20579
Kab. Barito Selatan,less than elementary,8147
Kab. Barito Selatan,university,5730
Kab. Barito Timur,elementary,21906
Kab. Barito Timur,high school,16613
Kab. Barito Timur,junior high school,16224
Kab. Barito Timur,less than elementary,5724
Kab. Barito Timur,university,5229
Kab. Barito Utara,elementary,28858
Kab. Barito Utara,high school,16948
Kab. Barito Utara,junior high school,19956
Kab. Barito Utara,less than elementary,9244
Kab. Barito Utara,university,5147
Kab. Barru,elementary,41764
Kab. Barru,high school,21556
Kab. Barru,junior high school,20653
Kab. Barru,less than elementary,8342
Kab. Barru,university,8944
Kab. Batang,elementary,233502
Kab. Batang,high school,57057
Kab. Batang,junior high school,104386
Kab. Batang,less than elementary,52781
Kab. Batang,university,17461
Kab. Batang Hari,elementary,58489
Kab. Batang Hari,high school,31076
Kab. Batang Hari,junior high school,36843
Kab. Batang Hari,less than elementary,17594
Kab. Batang Hari,university,8181
Kab. Batu Bara,elementary,86714
Kab. Batu Bara,high school,56129
Kab. Batu Bara,junior high school,60456
Kab. Batu Bara,less than elementary,25032
Kab. Batu Bara,university,8485
Kab. Bekasi,elementary,471368
Kab. Bekasi,high school,680099
Kab. Bekasi,junior high school,375312
Kab. Bekasi,less than elementary,77602
Kab. Bekasi,university,118130
Kab. Belitung,elementary,42006
Kab. Belitung,high school,25853
Kab. Belitung,junior high school,22338
Kab. Belitung,less than elementary,13319
Kab. Belitung,university,5738
Kab. Belitung Timur,elementary,30401
Kab. Belitung Timur,high school,16115
Kab. Belitung Timur,junior high school,15142
Kab. Belitung Timur,less than elementary,9081
Kab. Belitung Timur,university,3759
Kab. Belu,elementary,75978
Kab. Belu,high school,33136
Kab. Belu,junior high school,32893
Kab. Belu,less than elementary,17346
Kab. Belu,university,7920
Kab. Bener Meriah,elementary,22736
Kab. Bener Meriah,high school,23336
Kab. Bener Meriah,junior high school,23746
Kab. Bener Meriah,less than elementary,4297
Kab. Bener Meriah,university,5511
Kab. Bengkalis,elementary,98013
Kab. Bengkalis,high school,104967
Kab. Bengkalis,junior high school,74328
Kab. Bengkalis,less than elementary,18764
Kab. Bengkalis,university,22079
Kab. Bengkayang,elementary,51927
Kab. Bengkayang,high school,20003
Kab. Bengkayang,junior high school,27524
Kab. Bengkayang,less than elementary,22154
Kab. Bengkayang,university,4598
Kab. Bengkulu Selatan,elementary,24492
Kab. Bengkulu Selatan,high school,27768
Kab. Bengkulu Selatan,junior high school,23007
Kab. Bengkulu Selatan,less than elementary,8987
Kab. Bengkulu Selatan,university,8170
Kab. Bengkulu Tengah,elementary,21533
Kab. Bengkulu Tengah,high school,12079
Kab. Bengkulu Tengah,junior high school,14290
Kab. Bengkulu Tengah,less than elementary,9368
Kab. Bengkulu Tengah,university,2254
Kab. Bengkulu Utara,elementary,64060
Kab. Bengkulu Utara,high school,33772
Kab. Bengkulu Utara,junior high school,39137
Kab. Bengkulu Utara,less than elementary,19872
Kab. Bengkulu Utara,university,8157
Kab. Berau,elementary,37232
Kab. Berau,high school,33554
Kab. Berau,junior high school,26686
Kab. Berau,less than elementary,10336
