Kab. Bangka Selatan,Tamat SLTP,15865
Kab. Bangka Selatan,Tidak/Belum Tamat SD,26564
Kab. Bangka Tengah,Tamat PT,4106
Kab. Bangka Tengah,Tamat SD,45057
Kab. Bangka Tengah,Tamat SLTA,19088
Kab. Bangka Tengah,Tamat SLTP,19110
Kab. Bangka Tengah,Tidak/Belum Tamat SD,18961
Kab. Bangkalan,Tamat PT,17471
Kab. Bangkalan,Tamat SD,272757
Kab. Bangkalan,Tamat SLTA,60687
Kab. Bangkalan,Tamat SLTP,75475
Kab. Bangkalan,Tidak/Belum Tamat SD,46867
Kab. Bangli,Tamat PT,6894
Kab. Bangli,Tamat SD,61399
Kab. Bangli,Tamat SLTA,24696
Kab. Bangli,Tamat SLTP,24156
Kab. Bangli,Tidak/Belum Tamat SD,9807
Kab. Banjar,Tamat PT,15570
Kab. Banjar,Tamat SD,135531
Kab. Banjar,Tamat SLTA,62683
Kab. Banjar,Tamat SLTP,74173
Kab. Banjar,Tidak/Belum Tamat SD,48697
Kab. Banjarnegara,Tamat PT,22682
Kab. Banjarnegara,Tamat SD,302052
Kab. Banjarnegara,Tamat SLTA,64599
Kab. Banjarnegara,Tamat SLTP,109697
Kab. Banjarnegara,Tidak/Belum Tamat SD,63276
Kab. Bantaeng,Tamat PT,5999
Kab. Bantaeng,Tamat SD,27880
Kab. Bantaeng,Tamat SLTA,14619
Kab. Bantaeng,Tamat SLTP,13809
Kab. Bantaeng,Tidak/Belum Tamat SD,12888
Kab. Bantul,Tamat PT,72955
Kab. Bantul,Tamat SD,154729
Kab. Bantul,Tamat SLTA,223031
Kab. Bantul,Tamat SLTP,139133
Kab. Bantul,Tidak/Belum Tamat SD,46392
Kab. Banyu Asin,Tamat PT,14432
Kab. Banyu Asin,Tamat SD,229858
Kab. Banyu Asin,Tamat SLTA,79684
Kab. Banyu Asin,Tamat SLTP,92407
Kab. Banyu Asin,Tidak/Belum Tamat SD,62640
Kab. Banyumas,Tamat PT,61485
Kab. Banyumas,Tamat SD,451404
Kab. Banyumas,Tamat SLTA,212469
Kab. Banyumas,Tamat SLTP,223023
Kab. Banyumas,Tidak/Belum Tamat SD,126791
Kab. Banyuwangi,Tamat PT,41648
Kab. Banyuwangi,Tamat SD,438399
Kab. Banyuwangi,Tamat SLTA,197520
